"reviewer","time","brewery","name","style","abv","aroma","appearance","palate","taste","overall","total","average"
"fdoosey",2002-02-11 15:31:03,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,4,5,4,4.5,4,21.5,4.3
"bmills1608",2002-02-14 08:15:42,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3,4,3.5,3.5,2.5,16.5,3.3
"WilliamPhilaPa",2002-02-17 09:37:52,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,3.5,4,3.5,4,4,19,3.8
"Suds",2002-04-20 08:06:43,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,3.5,4,4.5,4.5,21,4.2
"Erix",2002-05-11 10:18:55,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,4.5,3,3.5,3.5,18,3.6
"Murph",2002-05-13 10:32:11,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4.5,4.5,4.5,5,4.5,23,4.6
"Tim",2002-05-22 05:27:17,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,4.5,5,5,24,4.8
"mophie",2002-06-07 14:44:42,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,5,4.5,4.5,5,5,24,4.8
"Jason",2002-06-22 10:39:52,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,2,3.5,3.5,2.5,3,14.5,2.9
"WilliamPhilaPa",2002-06-25 14:01:39,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,3.5,4.5,4,4.5,4.5,21,4.2
"goindownsouth",2002-07-03 14:37:53,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4.5,4,4,4,21,4.2
"Maestro",2002-07-04 01:51:40,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3.5,3,3.5,4,17,3.4
"NeroFiddled",2002-07-23 07:27:46,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4.5,4.5,4.5,4,4.5,22,4.4
"Thrasher",2002-07-25 10:54:45,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,3.5,3.5,3.5,4,19,3.8
"LarryV",2002-08-12 00:19:15,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,4,4,4,20,4
"Suds",2002-08-16 15:50:49,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3,3,3,3,15,3
"jackndan",2002-08-20 15:36:05,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,5,4,3.5,4,20.5,4.1
"ThreePistols",2002-08-24 12:45:51,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,4,2.5,3,4,16.5,3.3
"Realale",2002-09-03 21:00:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4,4.5,4,21,4.2
"pezoids",2002-09-08 17:18:45,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4.5,5,5,5,5,24.5,4.9
"doho95fu",2002-09-24 04:07:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4.5,5,5,23,4.6
"boblinneman",2002-09-27 17:49:30,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,5,5,5,5,25,5
