"time","brewery","name","style","abv","aroma","appearance","palate","taste","total","average"
2002-02-11 15:31:03,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,4,5,4,4.5,17.5,4.375
2002-02-14 08:15:42,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3,4,3.5,3.5,14,3.5
2002-02-17 09:37:52,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,3.5,4,3.5,4,15,3.75
2002-04-20 08:06:43,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,3.5,4,4.5,16.5,4.125
2002-05-11 10:18:55,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,4.5,3,3.5,14.5,3.625
2002-05-13 10:32:11,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4.5,4.5,4.5,5,18.5,4.625
2002-05-22 05:27:17,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,4.5,5,19,4.75
2002-06-07 14:44:42,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,5,4.5,4.5,5,19,4.75
2002-06-22 10:39:52,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,2,3.5,3.5,2.5,11.5,2.875
2002-06-25 14:01:39,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,3.5,4.5,4,4.5,16.5,4.125
2002-07-03 14:37:53,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4.5,4,4,17,4.25
2002-07-04 01:51:40,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3.5,3,3.5,13,3.25
2002-07-23 07:27:46,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4.5,4.5,4.5,4,17.5,4.375
2002-07-25 10:54:45,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,3.5,3.5,3.5,15,3.75
2002-08-12 00:19:15,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,4,4,16,4
2002-08-16 15:50:49,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3,3,3,12,3
2002-08-20 15:36:05,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,5,4,3.5,16.5,4.125
2002-08-24 12:45:51,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,4,2.5,3,12.5,3.125
2002-09-03 21:00:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4,4.5,17,4.25
2002-09-08 17:18:45,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4.5,5,5,5,19.5,4.875
2002-09-24 04:07:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4.5,5,18,4.5
2002-09-27 17:49:30,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,5,5,5,20,5
2002-10-04 05:59:09,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,3.5,4,3.5,4,15,3.75
2002-10-06 02:45:09,"Victory Brewing Company","Hersbrucker Pils","German Pilsener",5.3,4,4,4,4.5,16.5,4.125
2002-10-07 15:29:58,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4.5,16.5,4.125
2002-10-15 03:40:37,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,4.5,4,4,4,16.5,4.125
2002-10-28 13:25:18,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3.5,4,3.5,4,15,3.75
2002-10-29 04:36:56,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4.5,5,4.5,5,19,4.75
2002-10-29 13:56:30,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4,4,17,4.25
2002-11-07 00:44:49,"Yards Brewing Company","Trubbel De Yards","Belgian Strong Dark Ale",9,4,4,4,4,16,4
2002-11-19 16:03:46,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3,3.5,3.5,3.5,13.5,3.375
2002-11-23 07:39:52,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4.5,4.5,17.5,4.375
2002-11-26 01:17:54,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4,4,3.5,4,15.5,3.875
2002-11-26 10:09:36,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,3.5,3.5,4,3,14,3.5
2002-12-01 15:06:35,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4.5,4.5,17.5,4.375
2002-12-05 07:32:54,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,3.5,3.5,14,3.5
2002-12-06 05:00:40,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,4.5,4.5,4,4.5,17.5,4.375
2002-12-06 10:44:20,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4,4.5,17.5,4.375
2002-12-09 01:43:24,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,3.5,3,4,4,14.5,3.625
2002-12-16 00:44:16,"Yards Brewing Company","Trubbel De Yards","Belgian Strong Dark Ale",9,4.5,4.5,4.5,4.5,18,4.5
2002-12-20 14:56:36,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,4,3.5,4,3.5,15,3.75
2002-12-30 14:32:53,"Yards Brewing Company","Love Stout","English Stout",5,4,4.5,4.5,4,17,4.25
2003-01-12 02:22:26,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4.5,4.5,17.5,4.375
2003-01-13 08:28:38,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4.5,4,16.5,4.125
2003-01-14 13:01:56,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,4.5,4,4,4.5,17,4.25
2003-01-15 06:09:14,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3.5,3.5,3,13,3.25
2003-02-03 15:26:43,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,5,4.5,5,19.5,4.875
2003-02-06 14:53:30,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4,3.5,4,4,15.5,3.875
2003-02-08 08:34:40,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,3.5,4,4,15.5,3.875
2003-02-15 12:22:11,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4.5,4.5,18,4.5
2003-02-20 07:48:57,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,4,15.5,3.875
2003-02-24 08:22:13,"Victory Brewing Company","Mad King's Weiss","Hefeweizen",6.2,4,4,3.5,4,15.5,3.875
