type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
red,7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,low
red,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,low
red,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,low
red,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,low
red,6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,low
red,8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,low
red,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,low
red,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,low
red,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,low
red,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,low
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,low
red,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,low
red,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,low
red,7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,low
red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,low
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,low
red,7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,low
red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,low
red,7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,medium
red,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,medium
red,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,medium
red,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,medium
red,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,medium
red,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,medium
red,8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7,medium
red,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,medium
red,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,medium
red,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,medium
red,10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,medium
red,10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,medium
red,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,medium
red,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,medium
red,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,medium
red,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,high
red,13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,high
red,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,high
red,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,high
white,6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,low
white,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,low
