"","brewery_name","review_time","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv"
"1","Tröegs Brewing Company",1275968124,3,4.5,"Oatmeal Stout",3.5,3,"Tröegs Java Head Stout",7.5
"2","Victory Brewing Company",1182930981,4.5,4,"American IPA",4,4.5,"HopDevil Ale",6.7
"3","Victory Brewing Company",1193519101,4,1.5,"Tripel",4,4,"Golden Monkey",9.5
"4","Victory Brewing Company",1157967909,4.5,4,"American IPA",3.5,4,"HopDevil Ale",6.7
"5","Victory Brewing Company",1263695148,3.5,4,"American IPA",3.5,4,"HopDevil Ale",6.7
"6","Tröegs Brewing Company",1204151979,5,4,"American Amber / Red Ale",4,4.5,"Tröegs Nugget Nectar",7.5
"7","Tröegs Brewing Company",1289009043,4,4,"Maibock / Helles Bock",3.5,4,"Scratch Beer 30 - 2010 (Jerman Bock)",7
"8","Tröegs Brewing Company",1317653511,4,4.5,"American Barleywine",4.5,4.5,"Flying Mouflan",9.3
"9","Voodoo Brewing Company",1264743263,3,3.5,"American Brown Ale",3.5,3.5,"Wynona's Big Brown Ale",7.3
"10","Victory Brewing Company",1300169458,4,4.5,"Russian Imperial Stout",4,4,"Storm King Stout",9.1
"11","Victory Brewing Company",1258337304,5,3.5,"American Barleywine",4.5,5,"Old Horizontal",11
"12","Yards Brewing Co.",1161872755,4,3.5,"English Strong Ale",3.5,2.5,"Thomas Jefferson's Tavern Ale",8
"13","Victory Brewing Company",1317037976,3,3,"Tripel",4,3,"Golden Monkey",9.5
"14","Yards Brewing Co.",1302472928,4,4,"Extra Special / Strong Bitter (ESB)",4,4,"Extra Special Ale (ESA)",6.3
"15","Tröegs Brewing Company",1266462194,4.5,4.5,"American Amber / Red Ale",4,4.5,"Tröegs Nugget Nectar",7.5
"16","Tröegs Brewing Company",1236814735,4.5,4,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
